青沥备开(矫焙备)喊,楷飞喊,醚牢备荐 (疙),巢磊牢备荐 (疙),咯磊牢备荐 (疙)
辆肺备,8技,801,398,403
辆肺备,9技,797,401,396
辆肺备,10技,807,372,435
辆肺备,11技,936,481,455
辆肺备,12技,907,436,471
辆肺备,13技,963,472,491
辆肺备,14技,854,419,435
辆肺备,15技,953,458,495
辆肺备,16技,1088,563,525
辆肺备,17技,994,479,515
辆肺备,18技,965,470,495
辆肺备,19技,1259,580,679
辆肺备,20技,1428,652,776
辆肺备,21技,1467,653,814
辆肺备,22技,1734,781,953
辆肺备,23技,2110,983,1127
辆肺备,24技,2382,1072,1310
辆肺备,25技,2417,1104,1313
辆肺备,26技,2435,1123,1312
辆肺备,27技,2571,1284,1287
辆肺备,28技,2546,1258,1288
辆肺备,29技,2468,1237,1231
辆肺备,30技,2426,1238,1188
辆肺备,31技,2428,1208,1220
辆肺备,32技,2303,1179,1124
辆肺备,33技,2067,1058,1009
辆肺备,34技,1833,926,907
辆肺备,35技,1750,892,858
辆肺备,36技,1695,820,875
辆肺备,37技,1644,756,888
辆肺备,38技,1626,791,835
辆肺备,39技,1661,807,854
辆肺备,40技,1811,935,876
辆肺备,41技,1911,936,975
辆肺备,42技,2000,962,1038
辆肺备,43技,2010,955,1055
辆肺备,44技,1992,961,1031
辆肺备,45技,1762,868,894
辆肺备,46技,1773,792,981
辆肺备,47技,1825,894,931
辆肺备,48技,1837,899,938
辆肺备,49技,2027,981,1046
辆肺备,50技,2303,1097,1206
辆肺备,51技,2317,1129,1188
辆肺备,52技,2539,1305,1234
辆肺备,53技,2583,1291,1292
辆肺备,54技,2481,1226,1255
辆肺备,55技,2486,1218,1268
辆肺备,56技,2348,1117,1231
辆肺备,57技,2201,1112,1089
辆肺备,58技,2217,1086,1131
辆肺备,59技,2240,1101,1139
辆肺备,60技,2162,1110,1052
辆肺备,61技,2413,1273,1140
辆肺备,62技,2197,1149,1048
辆肺备,63技,2453,1177,1276
辆肺备,64技,2180,1057,1123
辆肺备,65技,2051,1028,1023
辆肺备,66技,1959,1008,951
辆肺备,67技,1883,901,982
辆肺备,68技,1809,912,897
辆肺备,69技,1845,887,958
辆肺备,70技,1364,672,692
辆肺备,71技,1493,731,762
辆肺备,72技,1210,582,628
辆肺备,73技,1021,450,571
辆肺备,74技,1197,537,660
辆肺备,75技,1109,491,618
辆肺备,76技,1237,548,689
辆肺备,77技,1135,494,641
辆肺备,78技,861,362,499
辆肺备,79技,982,427,555
辆肺备,80技,882,357,525
辆肺备,81技,1017,451,566
辆肺备,82技,956,369,587
辆肺备,83技,758,324,434
辆肺备,84技,734,287,447
辆肺备,85技,636,252,384
辆肺备,86技,522,197,325
辆肺备,87技,479,181,298
辆肺备,88技,396,149,247
辆肺备,89技,328,112,216
辆肺备,90技,257,95,162
辆肺备,91技,197,73,124
辆肺备,92技,153,51,102
辆肺备,93技,114,36,78
辆肺备,94技,84,22,62
辆肺备,95技,83,23,60
辆肺备,96技,48,7,41
辆肺备,97技,49,13,36
辆肺备,98技,19,8,11
辆肺备,99技,21,6,15
辆肺备,100技 捞惑,41,11,30
吝备,拌,121607,58737,62870
吝备,0技,479,260,219
吝备,1技,506,252,254
吝备,2技,544,267,277
吝备,3技,563,286,277
吝备,4技,520,267,253
吝备,5技,518,260,258
吝备,6技,521,265,256
吝备,7技,626,304,322
吝备,8技,634,337,297
吝备,9技,568,298,270
吝备,10技,615,307,308
吝备,11技,597,305,292
吝备,12技,594,303,291
吝备,13技,566,283,283
吝备,14技,530,281,249
吝备,15技,539,265,274
吝备,16技,665,315,350
吝备,17技,597,312,285
吝备,18技,658,322,336
吝备,19技,799,388,411
吝备,20技,973,408,565
吝备,21技,1043,469,574
吝备,22技,1290,599,691
吝备,23技,1603,743,860
吝备,24技,1798,816,982
吝备,25技,1844,816,1028
吝备,26技,2041,881,1160
吝备,27技,2157,953,1204
吝备,28技,2293,1039,1254
吝备,29技,2372,1172,1200
吝备,30技,2473,1146,1327
吝备,31技,2495,1214,1281
吝备,32技,2516,1265,1251
吝备,33技,2205,1097,1108
吝备,34技,2116,1103,1013
吝备,35技,2091,1038,1053
吝备,36技,1973,995,978
吝备,37技,1757,902,855
吝备,38技,1878,940,938
吝备,39技,1728,872,856
吝备,40技,1842,926,916
吝备,41技,1836,897,939
吝备,42技,1847,964,883
吝备,43技,1786,915,871
吝备,44技,1768,912,856
吝备,45技,1503,773,730
吝备,46技,1519,779,740
吝备,47技,1478,731,747
吝备,48技,1476,784,692
吝备,49技,1636,816,820
吝备,50技,1752,873,879
吝备,51技,1831,887,944
吝备,52技,1952,982,970
吝备,53技,2045,990,1055
吝备,54技,2031,1019,1012
吝备,55技,2037,1013,1024
吝备,56技,1918,999,919
吝备,57技,1762,939,823
吝备,58技,1792,913,879
吝备,59技,1928,922,1006
吝备,60技,1766,890,876
吝备,61技,2036,1055,981
吝备,62技,1843,929,914
吝备,63技,2123,1031,1092
吝备,64技,1895,960,935
吝备,65技,1860,878,982
吝备,66技,1814,893,921
吝备,67技,1718,866,852
吝备,68技,1648,813,835
吝备,69技,1716,851,865
吝备,70技,1305,608,697
吝备,71技,1308,634,674
吝备,72技,1118,529,589
吝备,73技,1004,475,529
吝备,74技,1100,509,591
吝备,75技,1042,480,562
吝备,76技,1081,478,603
吝备,77技,1033,431,602
吝备,78技,759,306,453
吝备,79技,816,349,467
吝备,80技,785,329,456
吝备,81技,873,352,521
吝备,82技,852,346,506
吝备,83技,634,261,373
吝备,84技,580,225,355
吝备,85技,523,192,331
吝备,86技,400,124,276
吝备,87技,401,131,270
吝备,88技,361,106,255
吝备,89技,260,81,179
吝备,90技,228,54,174
吝备,91技,176,47,129
吝备,92技,131,44,87
吝备,93技,100,25,75
吝备,94技,86,20,66
吝备,95技,70,22,48
吝备,96技,58,13,45
吝备,97技,33,5,28
吝备,98技,9,4,5
吝备,99技,9,1,8
吝备,100技 捞惑,29,11,18
侩魂备,拌,207969,99566,108403
侩魂备,0技,905,447,458
侩魂备,1技,993,485,508
侩魂备,2技,948,505,443
侩魂备,3技,989,502,487
侩魂备,4技,1050,557,493
侩魂备,5技,1056,549,507
侩魂备,6技,1072,526,546
侩魂备,7技,1161,594,567
侩魂备,8技,1259,645,614
侩魂备,9技,1237,616,621
侩魂备,10技,1209,613,596
侩魂备,11技,1299,686,613
侩魂备,12技,1260,662,598
侩魂备,13技,1301,676,625
侩魂备,14技,1212,618,594
侩魂备,15技,1337,656,681
侩魂备,16技,1388,705,683
侩魂备,17技,1365,712,653
侩魂备,18技,1324,655,669
侩魂备,19技,1661,795,866
侩魂备,20技,1775,786,989
侩魂备,21技,1917,864,1053
侩魂备,22技,2109,931,1178
侩魂备,23技,2611,1163,1448
侩魂备,24技,2804,1235,1569
侩魂备,25技,2972,1377,1595
侩魂备,26技,3237,1423,1814
侩魂备,27技,3549,1644,1905
侩魂备,28技,3900,1812,2088
侩魂备,29技,4147,1946,2201
侩魂备,30技,4141,2020,2121
侩魂备,31技,4371,2183,2188
侩魂备,32技,4199,2056,2143
侩魂备,33技,4002,1981,2021
侩魂备,34技,3745,1897,1848
侩魂备,35技,3466,1731,1735
侩魂备,36技,3271,1583,1688
侩魂备,37技,3154,1531,1623
侩魂备,38技,3287,1631,1656
侩魂备,39技,3004,1512,1492
侩魂备,40技,3270,1664,1606
侩魂备,41技,3259,1598,1661
侩魂备,42技,3342,1717,1625
侩魂备,43技,3329,1690,1639
侩魂备,44技,3244,1583,1661
侩魂备,45技,2669,1298,1371
侩魂备,46技,2851,1421,1430
侩魂备,47技,2637,1252,1385
侩魂备,48技,2809,1376,1433
侩魂备,49技,3026,1444,1582
侩魂备,50技,3194,1543,1651
侩魂备,51技,3378,1603,1775
侩魂备,52技,3746,1812,1934
侩魂备,53技,3679,1785,1894
侩魂备,54技,3536,1735,1801
侩魂备,55技,3550,1745,1805
侩魂备,56技,3283,1614,1669
侩魂备,57技,2896,1442,1454
侩魂备,58技,3122,1509,1613
侩魂备,59技,3078,1562,1516
侩魂备,60技,2938,1448,1490
侩魂备,61技,3202,1585,1617
侩魂备,62技,3113,1574,1539
侩魂备,63技,3248,1558,1690
侩魂备,64技,3098,1527,1571
侩魂备,65技,2859,1366,1493
侩魂备,66技,2833,1404,1429
侩魂备,67技,2563,1233,1330
侩魂备,68技,2483,1175,1308
侩魂备,69技,2394,1165,1229
侩魂备,70技,1994,940,1054
侩魂备,71技,1917,868,1049
侩魂备,72技,1548,700,848
侩魂备,73技,1501,695,806
侩魂备,74技,1603,710,893
侩魂备,75技,1558,734,824
侩魂备,76技,1565,664,901
侩魂备,77技,1394,580,814
侩魂备,78技,1112,457,655
侩魂备,79技,1190,475,715
侩魂备,80技,1108,464,644
侩魂备,81技,1304,549,755
侩魂备,82技,1226,484,742
侩魂备,83技,954,406,548
侩魂备,84技,900,310,590
侩魂备,85技,847,316,531
侩魂备,86技,785,267,518
侩魂备,87技,659,230,429
侩魂备,88技,547,175,372
侩魂备,89技,443,161,282
侩魂备,90技,358,113,245
侩魂备,91技,261,78,183
侩魂备,92技,244,71,173
侩魂备,93技,161,53,108
侩魂备,94技,132,42,90
侩魂备,95技,117,31,86
侩魂备,96技,77,17,60
侩魂备,97技,37,4,33
侩魂备,98技,29,9,20
侩魂备,99技,22,7,15
侩魂备,100技 捞惑,60,18,42
己悼备,拌,276847,134161,142686
己悼备,0技,1441,741,700
己悼备,1技,1432,755,677
己悼备,2技,1630,832,798
己悼备,3技,1592,844,748
己悼备,4技,1599,849,750
己悼备,5技,1666,847,819
己悼备,6技,1688,866,822
己悼备,7技,1830,961,869
己悼备,8技,1764,899,865
己悼备,9技,1858,940,918
己悼备,10技,1702,843,859
己悼备,11技,1780,871,909
己悼备,12技,1652,818,834
己悼备,13技,1640,823,817
己悼备,14技,1508,767,741
己悼备,15技,1669,815,854
己悼备,16技,1870,935,935
己悼备,17技,1767,880,887
己悼备,18技,2003,1015,988
己悼备,19技,2329,1122,1207
己悼备,20技,2690,1193,1497
己悼备,21技,2797,1243,1554
己悼备,22技,3173,1451,1722
己悼备,23技,4056,2004,2052
己悼备,24技,4234,2100,2134
己悼备,25技,4298,2053,2245
己悼备,26技,4748,2277,2471
己悼备,27技,4667,2296,2371
己悼备,28技,4907,2461,2446
己悼备,29技,4938,2502,2436
己悼备,30技,4881,2346,2535
己悼备,31技,5117,2536,2581
己悼备,32技,4998,2461,2537
己悼备,33技,4676,2280,2396
己悼备,34技,4574,2196,2378
己悼备,35技,4481,2118,2363
己悼备,36技,4380,2136,2244
己悼备,37技,4285,2121,2164
己悼备,38技,4257,2180,2077
己悼备,39技,4196,2059,2137
己悼备,40技,4362,2204,2158
己悼备,41技,4521,2330,2191
己悼备,42技,4547,2326,2221
己悼备,43技,4361,2210,2151
己悼备,44技,4157,2098,2059
己悼备,45技,3661,1835,1826
己悼备,46技,3670,1782,1888
己悼备,47技,3637,1870,1767
己悼备,48技,3691,1800,1891
己悼备,49技,3923,1855,2068
己悼备,50技,4332,2090,2242
己悼备,51技,4417,2186,2231
己悼备,52技,4646,2237,2409
己悼备,53技,4819,2365,2454
己悼备,54技,4770,2379,2391
己悼备,55技,4652,2246,2406
己悼备,56技,4357,2151,2206
己悼备,57技,3948,2029,1919
己悼备,58技,4229,2060,2169
己悼备,59技,4196,2081,2115
己悼备,60技,3859,1944,1915
己悼备,61技,4359,2172,2187
己悼备,62技,4217,2110,2107
己悼备,63技,4533,2255,2278
己悼备,64技,4204,2048,2156
己悼备,65技,3876,1917,1959
己悼备,66技,3701,1801,1900
己悼备,67技,3488,1658,1830
己悼备,68技,3232,1523,1709
己悼备,69技,3248,1538,1710
己悼备,70技,2591,1207,1384
己悼备,71技,2558,1200,1358
己悼备,72技,2128,979,1149
己悼备,73技,2070,939,1131
己悼备,74技,2155,996,1159
己悼备,75技,1995,881,1114
己悼备,76技,2073,907,1166
己悼备,77技,2067,880,1187
己悼备,78技,1451,570,881
己悼备,79技,1526,662,864
己悼备,80技,1502,619,883
己悼备,81技,1700,732,968
己悼备,82技,1496,614,882
己悼备,83技,1200,450,750
己悼备,84技,1075,421,654
己悼备,85技,921,337,584
己悼备,86技,813,288,525
己悼备,87技,737,248,489
己悼备,88技,580,180,400
己悼备,89技,465,138,327
己悼备,90技,344,118,226
己悼备,91技,263,74,189
己悼备,92技,212,53,159
己悼备,93技,151,31,120
己悼备,94技,121,31,90
己悼备,95技,101,28,73
己悼备,96技,53,12,41
己悼备,97技,45,11,34
己悼备,98技,16,3,13
己悼备,99技,12,3,9
己悼备,100技 捞惑,40,13,27
堡柳备,拌,334790,160670,174120
堡柳备,0技,1130,587,543
堡柳备,1技,1144,575,569
堡柳备,2技,1203,638,565
堡柳备,3技,1285,626,659
堡柳备,4技,1335,693,642
堡柳备,5技,1446,697,749
堡柳备,6技,1482,765,717
堡柳备,7技,1765,902,863
堡柳备,8技,1948,1008,940
堡柳备,9技,2024,1022,1002
堡柳备,10技,2089,1123,966
堡柳备,11技,2234,1114,1120
堡柳备,12技,2247,1125,1122
堡柳备,13技,2324,1177,1147
堡柳备,14技,2185,1170,1015
堡柳备,15技,2352,1201,1151
堡柳备,16技,2546,1273,1273
堡柳备,17技,2438,1197,1241
堡柳备,18技,2367,1198,1169
堡柳备,19技,2825,1331,1494
堡柳备,20技,3334,1528,1806
堡柳备,21技,3511,1518,1993
堡柳备,22技,4242,1919,2323
堡柳备,23技,5575,2563,3012
堡柳备,24技,6140,2853,3287
堡柳备,25技,6559,3079,3480
堡柳备,26技,6972,3195,3777
堡柳备,27技,7274,3333,3941
堡柳备,28技,7559,3594,3965
堡柳备,29技,7318,3529,3789
堡柳备,30技,7073,3454,3619
堡柳备,31技,6955,3469,3486
堡柳备,32技,6661,3333,3328
堡柳备,33技,5671,2892,2779
堡柳备,34技,5419,2734,2685
堡柳备,35技,5001,2524,2477
堡柳备,36技,4679,2326,2353
堡柳备,37技,4506,2221,2285
堡柳备,38技,4632,2291,2341
堡柳备,39技,4274,2084,2190
堡柳备,40技,4648,2241,2407
堡柳备,41技,4966,2450,2516
堡柳备,42技,5062,2481,2581
堡柳备,43技,5034,2417,2617
堡柳备,44技,4943,2420,2523
堡柳备,45技,4437,2154,2283
堡柳备,46技,4503,2255,2248
堡柳备,47技,4519,2192,2327
堡柳备,48技,4611,2309,2302
堡柳备,49技,4822,2340,2482
堡柳备,50技,5195,2554,2641
堡柳备,51技,5397,2599,2798
堡柳备,52技,5622,2760,2862
堡柳备,53技,5633,2741,2892
堡柳备,54技,5526,2590,2936
堡柳备,55技,5593,2724,2869
堡柳备,56技,5181,2507,2674
堡柳备,57技,4937,2408,2529
堡柳备,58技,4999,2423,2576
堡柳备,59技,4947,2442,2505
堡柳备,60技,4438,2209,2229
堡柳备,61技,5263,2607,2656
堡柳备,62技,4896,2390,2506
堡柳备,63技,5286,2494,2792
堡柳备,64技,5084,2402,2682
堡柳备,65技,4664,2200,2464
堡柳备,66技,4380,2091,2289
堡柳备,67技,4054,1878,2176
堡柳备,68技,3941,1833,2108
堡柳备,69技,3880,1817,2063
堡柳备,70技,3039,1432,1607
堡柳备,71技,3216,1471,1745
堡柳备,72技,2546,1143,1403
堡柳备,73技,2317,1069,1248
堡柳备,74技,2393,1101,1292
堡柳备,75技,2399,1099,1300
堡柳备,76技,2443,1066,1377
堡柳备,77技,2266,1028,1238
堡柳备,78技,1602,719,883
堡柳备,79技,1687,787,900
堡柳备,80技,1614,663,951
堡柳备,81技,1790,805,985
堡柳备,82技,1622,656,966
堡柳备,83技,1276,560,716
堡柳备,84技,1161,494,667
堡柳备,85技,1030,420,610
堡柳备,86技,845,346,499
堡柳备,87技,718,248,470
堡柳备,88技,615,191,424
堡柳备,89技,502,154,348
堡柳备,90技,394,126,268
堡柳备,91技,267,86,181
堡柳备,92技,248,63,185
堡柳备,93技,147,39,108
堡柳备,94技,130,34,96
堡柳备,95技,107,23,84
堡柳备,96技,81,21,60
堡柳备,97技,43,10,33
堡柳备,98技,27,6,21
堡柳备,99技,30,7,23
堡柳备,100技 捞惑,50,14,36
悼措巩备,拌,341981,167523,174458
悼措巩备,0技,1353,720,633
悼措巩备,1技,1532,758,774
悼措巩备,2技,1477,775,702
悼措巩备,3技,1644,815,829
悼措巩备,4技,1782,881,901
悼措巩备,5技,1762,854,908
悼措巩备,6技,1882,976,906
悼措巩备,7技,2030,1044,986
悼措巩备,8技,2231,1153,1078
悼措巩备,9技,2192,1106,1086
悼措巩备,10技,2056,1040,1016
悼措巩备,11技,2308,1191,1117
悼措巩备,12技,2126,1074,1052
悼措巩备,13技,2163,1127,1036
悼措巩备,14技,2098,1082,1016
悼措巩备,15技,2143,1072,1071
悼措巩备,16技,2382,1241,1141
悼措巩备,17技,2130,1079,1051
悼措巩备,18技,2430,1203,1227
悼措巩备,19技,3276,1516,1760
悼措巩备,20技,3849,1639,2210
悼措巩备,21技,4255,1712,2543
悼措巩备,22技,5240,2315,2925
悼措巩备,23技,6425,3024,3401
悼措巩备,24技,6301,2955,3346
悼措巩备,25技,6272,3071,3201
悼措巩备,26技,6405,3157,3248
悼措巩备,27技,6083,2977,3106
悼措巩备,28技,6154,3117,3037
悼措巩备,29技,5957,3046,2911
悼措巩备,30技,5696,2915,2781
悼措巩备,31技,5816,2999,2817
悼措巩备,32技,5453,2846,2607
悼措巩备,33技,5043,2574,2469
悼措巩备,34技,4813,2480,2333
悼措巩备,35技,4688,2380,2308
悼措巩备,36技,4504,2332,2172
悼措巩备,37技,4612,2374,2238
悼措巩备,38技,4429,2230,2199
悼措巩备,39技,4527,2300,2227
悼措巩备,40技,4846,2545,2301
悼措巩备,41技,5212,2651,2561
悼措巩备,42技,5251,2651,2600
悼措巩备,43技,5131,2692,2439
悼措巩备,44技,5013,2559,2454
悼措巩备,45技,4540,2357,2183
悼措巩备,46技,4472,2304,2168
悼措巩备,47技,4342,2224,2118
悼措巩备,48技,4526,2319,2207
悼措巩备,49技,4888,2521,2367
悼措巩备,50技,5098,2563,2535
悼措巩备,51技,5419,2729,2690
悼措巩备,52技,5541,2835,2706
悼措巩备,53技,5682,2816,2866
悼措巩备,54技,5540,2822,2718
悼措巩备,55技,5600,2799,2801
悼措巩备,56技,4899,2438,2461
悼措巩备,57技,4945,2555,2390
悼措巩备,58技,5010,2534,2476
悼措巩备,59技,5027,2565,2462
悼措巩备,60技,4532,2282,2250
悼措巩备,61技,5127,2584,2543
悼措巩备,62技,5078,2513,2565
悼措巩备,63技,5613,2762,2851
悼措巩备,64技,5295,2533,2762
悼措巩备,65技,4949,2441,2508
悼措巩备,66技,4830,2322,2508
悼措巩备,67技,4450,2111,2339
悼措巩备,68技,4403,2133,2270
悼措巩备,69技,4439,2078,2361
悼措巩备,70技,3512,1678,1834
悼措巩备,71技,3647,1703,1944
悼措巩备,72技,3026,1361,1665
悼措巩备,73技,2750,1297,1453
悼措巩备,74技,2886,1324,1562
悼措巩备,75技,2860,1239,1621
悼措巩备,76技,2914,1271,1643
悼措巩备,77技,2787,1195,1592
悼措巩备,78技,2101,914,1187
悼措巩备,79技,2140,915,1225
悼措巩备,80技,2051,844,1207
悼措巩备,81技,2397,1035,1362
悼措巩备,82技,2118,885,1233
悼措巩备,83技,1634,679,955
悼措巩备,84技,1460,580,880
悼措巩备,85技,1296,486,810
悼措巩备,86技,1062,405,657
悼措巩备,87技,947,337,610
悼措巩备,88技,751,279,472
悼措巩备,89技,629,208,421
悼措巩备,90技,470,150,320
悼措巩备,91技,355,111,244
悼措巩备,92技,264,68,196
悼措巩备,93技,189,51,138
悼措巩备,94技,162,40,122
悼措巩备,95技,114,33,81
悼措巩备,96技,84,18,66
悼措巩备,97技,53,6,47
悼措巩备,98技,27,7,20
悼措巩备,99技,23,4,19
悼措巩备,100技 捞惑,55,12,43
吝尔备,拌,381668,186915,194753
吝尔备,0技,1593,827,766
吝尔备,1技,1740,860,880
吝尔备,2技,1686,814,872
吝尔备,3技,1547,797,750
吝尔备,4技,1714,889,825
吝尔备,5技,1832,954,878
吝尔备,6技,1953,970,983
吝尔备,7技,2064,1067,997
吝尔备,8技,2253,1173,1080
吝尔备,9技,2179,1127,1052
吝尔备,10技,2236,1157,1079
吝尔备,11技,2366,1230,1136
吝尔备,12技,2342,1215,1127
吝尔备,13技,2282,1146,1136
吝尔备,14技,2195,1130,1065
吝尔备,15技,2321,1166,1155
吝尔备,16技,2476,1263,1213
吝尔备,17技,2495,1318,1177
吝尔备,18技,2409,1243,1166
吝尔备,19技,2659,1296,1363
吝尔备,20技,3021,1448,1573
吝尔备,21技,3140,1495,1645
吝尔备,22技,3693,1751,1942
吝尔备,23技,4485,2103,2382
吝尔备,24技,4814,2212,2602
吝尔备,25技,5201,2461,2740
吝尔备,26技,5726,2735,2991
吝尔备,27技,6037,2835,3202
吝尔备,28技,6480,3165,3315
吝尔备,29技,6746,3313,3433
吝尔备,30技,6779,3387,3392
吝尔备,31技,6946,3463,3483
吝尔备,32技,6685,3360,3325
吝尔备,33技,5940,2977,2963
吝尔备,34技,5630,2908,2722
吝尔备,35技,5535,2929,2606
吝尔备,36技,5225,2662,2563
吝尔备,37技,5070,2618,2452
吝尔备,38技,5137,2618,2519
吝尔备,39技,4955,2550,2405
吝尔备,40技,5258,2772,2486
吝尔备,41技,5549,2861,2688
吝尔备,42技,5840,3063,2777
吝尔备,43技,5696,2978,2718
吝尔备,44技,5730,3076,2654
吝尔备,45技,4852,2518,2334
吝尔备,46技,4862,2540,2322
吝尔备,47技,4686,2456,2230
吝尔备,48技,4992,2553,2439
吝尔备,49技,5266,2698,2568
吝尔备,50技,5940,2967,2973
吝尔备,51技,6063,3032,3031
吝尔备,52技,6379,3200,3179
吝尔备,53技,6625,3308,3317
吝尔备,54技,6561,3260,3301
吝尔备,55技,6965,3347,3618
吝尔备,56技,6524,3086,3438
吝尔备,57技,6431,3186,3245
吝尔备,58技,6424,3192,3232
吝尔备,59技,6607,3266,3341
吝尔备,60技,5964,2887,3077
吝尔备,61技,7134,3492,3642
吝尔备,62技,6777,3314,3463
吝尔备,63技,7484,3598,3886
吝尔备,64技,7127,3445,3682
吝尔备,65技,6350,3048,3302
吝尔备,66技,6191,3079,3112
吝尔备,67技,5660,2645,3015
吝尔备,68技,5514,2646,2868
吝尔备,69技,5631,2700,2931
吝尔备,70技,4342,2037,2305
吝尔备,71技,4403,2096,2307
吝尔备,72技,3718,1729,1989
吝尔备,73技,3246,1532,1714
吝尔备,74技,3531,1603,1928
吝尔备,75技,3355,1507,1848
吝尔备,76技,3320,1495,1825
吝尔备,77技,3248,1441,1807
吝尔备,78技,2238,983,1255
吝尔备,79技,2338,996,1342
吝尔备,80技,2251,974,1277
